venta_id;fecha;producto_id;cliente_id;tienda_id;vendedor_id;cantidad;precio_unitario;costo_unitario;descuento_porcentaje;venta_neta;costo_total;utilidad
1;2025-03-07;25;311;4;9;5;978.48;682;0;4892.4;3410;1482.4
2;2023-12-05;11;437;5;10;5;519.38;363;15;2207.37;1815;392.37
3;2025-04-25;11;259;3;8;5;519.38;363;5;2467.05;1815;652.05
4;2024-09-17;5;76;4;4;2;69.39;47;0;138.78;94;44.78
5;2023-09-12;13;76;1;11;3;770.23;523;10;2079.62;1569;510.62
6;2023-08-23;17;181;1;1;1;439.51;310;0;439.51;310;129.51
7;2024-10-20;6;421;5;15;2;125.45;96;10;225.81;192;33.81
8;2025-08-18;16;172;3;3;1;142.24;105;15;120.9;105;15.9
9;2024-07-12;23;386;5;10;4;1081.01;680;5;4107.84;2720;1387.84
10;2024-09-27;1;443;2;2;3;242.37;174;0;727.11;522;205.11
11;2025-07-26;1;365;2;2;1;242.37;174;15;206.01;174;32.01
12;2023-02-28;9;255;2;2;4;316.86;233;15;1077.32;932;145.32
13;2023-07-25;12;19;5;5;3;181.86;114;0;545.58;342;203.58
14;2023-05-26;17;243;2;12;5;439.51;310;10;1977.8;1550;427.8
15;2023-05-31;20;113;4;9;1;479.99;293;10;431.99;293;138.99
16;2023-07-05;6;268;4;4;2;125.45;96;0;250.9;192;58.9
17;2023-01-30;18;448;5;10;5;377.84;282;0;1889.2;1410;479.2
18;2025-02-28;24;28;2;2;1;405.54;306;15;344.71;306;38.71
19;2024-10-16;20;217;5;5;4;479.99;293;5;1823.96;1172;651.96
20;2023-11-02;22;38;4;9;3;96.8;77;0;290.4;231;59.4
21;2023-06-01;9;179;3;3;2;316.86;233;0;633.72;466;167.72
22;2023-10-22;1;220;2;12;3;242.37;174;5;690.75;522;168.75
23;2024-11-11;1;481;4;4;5;242.37;174;10;1090.66;870;220.66
24;2023-02-15;18;37;4;4;1;377.84;282;0;377.84;282;95.84
25;2023-01-14;8;111;4;9;4;919.26;614;0;3677.04;2456;1221.04
26;2025-04-01;23;473;4;4;3;1081.01;680;5;3080.88;2040;1040.88
27;2025-01-23;3;28;2;7;5;212.75;123;15;904.19;615;289.19
28;2025-08-11;15;289;1;1;5;74.85;55;0;374.25;275;99.25
29;2024-02-06;2;288;4;4;3;1150.48;670;15;2933.72;2010;923.72
30;2023-01-09;4;267;1;6;3;1059.28;606;0;3177.84;1818;1359.84
31;2025-07-05;19;213;5;10;3;244.74;140;10;660.8;420;240.8
32;2023-12-10;24;111;5;5;5;405.54;306;0;2027.7;1530;497.7
33;2025-02-27;16;13;2;2;4;142.24;105;0;568.96;420;148.96
34;2023-01-10;3;335;3;3;5;212.75;123;15;904.19;615;289.19
35;2024-12-14;5;443;3;13;1;69.39;47;0;69.39;47;22.39
36;2024-10-10;26;6;1;6;2;835.82;478;0;1671.64;956;715.64
37;2023-11-15;1;193;1;6;4;242.37;174;0;969.48;696;273.48
38;2024-04-19;21;225;3;13;1;382.02;244;0;382.02;244;138.02
39;2024-10-26;5;50;3;13;1;69.39;47;10;62.45;47;15.45
